Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Date,,,,,
2025-07-09,57213.55078125,57290.6484375,57037.8984375,57199.75,91100
2025-07-10,56956.0,57363.69921875,56886.6015625,57339.75,102000
2025-07-11,56754.69921875,57091.05078125,56607.75,56843.44921875,95500
2025-07-14,56765.3515625,56896.30078125,56594.25,56780.75,123000
2025-07-15,57006.6484375,57134.94921875,56707.80078125,56709.19921875,124600
2025-07-16,57168.94921875,57276.55078125,56937.6015625,57111.25,161300
2025-07-17,56828.80078125,57262.8515625,56780.1484375,57231.94921875,129800
2025-07-18,56283.0,56705.1484375,56204.8515625,56524.25,141200
2025-07-21,56952.75,56983.44921875,56255.69921875,56558.8984375,133700
2025-07-22,56756.0,57286.1484375,56692.0,57253.3515625,132800
2025-07-23,57210.44921875,57249.0,56715.80078125,56918.1484375,129800
2025-07-24,57066.05078125,57316.6015625,56850.8984375,57316.6015625,179800
2025-07-25,56528.8984375,57170.69921875,56439.3984375,57170.69921875,125100
2025-07-28,56084.8984375,56578.3984375,55997.44921875,56215.1015625,145700
2025-07-29,56222.0,56296.3984375,55843.25,55881.80078125,145100
2025-07-30,56150.69921875,56321.1484375,56064.55078125,56310.1015625,139700
2025-07-31,55961.94921875,56406.19921875,55547.3515625,55728.1484375,182800
2025-08-01,55617.6015625,56097.6015625,55562.1015625,55897.1484375,98900
2025-08-04,55619.3515625,55752.44921875,55437.30078125,55557.5,131100
2025-08-05,55360.25,55648.1484375,55202.8515625,55545.05078125,105700
2025-08-06,55411.1484375,55559.3984375,55227.69921875,55329.80078125,117600
2025-08-07,55521.1484375,55614.80078125,54973.55078125,55215.6484375,95500
2025-08-08,55004.8984375,55652.6015625,54905.6015625,55609.3515625,97300
2025-08-11,55510.75,55582.1484375,54927.55078125,54999.3515625,105200
2025-08-12,55043.69921875,55566.69921875,55001.5,55441.1015625,0
